osm_way_id,street_name,road_type
917156648,Polderweg,residential
917156649,unknown,cycleway
917156651,Ooster Ringdijk,cycleway
917156652,Ooster Ringdijk,cycleway
931232657,unknown,cycleway
931232658,unknown,cycleway
931232659,Insulindeweg,cycleway
931232660,Insulindeweg,cycleway
931233823,Th. K. van Lohuizenlaan,tertiary
931233824,Th. K. van Lohuizenlaan,tertiary
931233825,Th. K. van Lohuizenlaan,tertiary
931233826,Th. K. van Lohuizenlaan,tertiary
931233827,Th. K. van Lohuizenlaan,tertiary
931233828,Th. K. van Lohuizenlaan,tertiary
931233829,Th. K. van Lohuizenlaan,tertiary
931233830,Th. K. van Lohuizenlaan,tertiary
931233831,Th. K. van Lohuizenlaan,tertiary
931233832,Zeeburgerdijk,tertiary
931233833,Th. K. van Lohuizenlaan,tertiary
931233834,Th. K. van Lohuizenlaan,tertiary
931233835,Zeeburgerdijk,tertiary
931233836,Zeeburgerdijk,tertiary
949771545,Panamalaan,primary
975323193,Cruquiusstraat,residential
1025370978,unknown,cycleway
1041277078,Copernicusstraat,residential
1044086670,Archimedeslaan,residential
1057857343,Sumatrastraat,residential
1057857344,Ambonplein,residential
1071314298,Zeeburgerdijk,tertiary
1079183574,unknown,cycleway
1079183575,Middenweg,cycleway
1079183576,Middenweg,cycleway
1079425313,Middenweg,secondary
1079425314,Middenweg,secondary
1079429590,Middenweg,cycleway
1079787968,Vrolikstraat,cycleway
1080911084,Carolina MacGillavrylaan,cycleway
1081996732,Cruquiusweg,tertiary
1082310746,Timorplein,residential
1090547014,Carolina MacGillavrylaan,cycleway
1090729712,unknown,cycleway
1090785123,Carolina MacGillavrylaan,tertiary
1090785124,Carolina MacGillavrylaan,tertiary
1090785130,Carolina MacGillavrylaan,cycleway
1090838677,Carolina MacGillavrylaan,tertiary
1090846594,Carolina MacGillavrylaan,cycleway
1090846595,Carolina MacGillavrylaan,cycleway
1091191355,Carolina MacGillavrylaan,tertiary
1091191356,Carolina MacGillavrylaan,tertiary
1091856156,Carolina MacGillavrylaan,cycleway
1092105435,Carolina MacGillavrylaan,tertiary
1092105436,Carolina MacGillavrylaan,tertiary
1092105437,Carolina MacGillavrylaan,tertiary
1100640593,Molukkenstraat,secondary
1100640594,Carolina MacGillavrylaan,tertiary
1100640595,Carolina MacGillavrylaan,tertiary
1100640596,Molukkenstraat,secondary
1100640600,Molukkenstraat,secondary
1100640601,Molukkenstraat,secondary
1100640602,Molukkenstraat,secondary
1100640603,Molukkenstraat,secondary
1100640604,Molukkenstraat,secondary
1100640606,Molukkenstraat,secondary
1100787462,Ooster Ringdijk,cycleway
1100787463,Ooster Ringdijk,cycleway
1100787465,Ooster Ringdijk,cycleway
1135938994,Linnaeusstraat,cycleway
1137884621,Jan Kiststraat,residential
1137884622,Willem Parelstraat,residential
1138382959,unknown,cycleway
1138382963,Linnaeusstraat,secondary
1138382965,Linnaeusstraat,cycleway
1138382966,Linnaeusstraat,cycleway
1138382967,Pretoriusstraat,residential
1146079856,Zeeburgerdijk,cycleway
1161682104,Willem Parelstraat,residential
1178529647,Czaar Peterstraat,cycleway
1191563223,Th. K. van Lohuizenlaan,cycleway
1191563224,Th. K. van Lohuizenlaan,cycleway
1191563225,Th. K. van Lohuizenlaan,tertiary
1191563230,Th. K. van Lohuizenlaan,cycleway
1229996044,Insulindeweg,secondary
1284387927,Pontanusstraat,residential
1284388006,Wijttenbachstraat,secondary
1284388007,Wijttenbachstraat,secondary
1284388119,Pontanusstraat,cycleway
1305987254,Reinwardtstraat,residential
1315058575,Ezelsbrug,cycleway
1315080912,Oosterspoorplein,cycleway
1341304531,Oostenburgermiddenstraat,residential
1350707066,Zeeburgerdijk,primary
1350707067,Zeeburgerdijk,primary
1356511201,Pontanusstraat,cycleway
1372689903,Oostenburgermiddenstraat,residential
1374480058,unknown,residential
1374480059,Tidorestraat,residential
1376777054,Sumatrastraat,residential
1388488946,Panamalaan,cycleway
1413008718,unknown,cycleway
1413008719,unknown,residential
1413008722,Woltera van Reesstraat,cycleway
1413008723,Woltera van Reesstraat,cycleway
1423636836,unknown,cycleway
1423636837,unknown,cycleway
1423679445,unknown,cycleway
1445392732,unknown,primary
1445392734,unknown,primary
