osm_way_id,street_name,road_type
7045839,C. van Eesterenlaan,tertiary
7045851,C. van Eesterenlaan,tertiary
7045855,Veemarkt,residential
7045856,Veemarkt,residential
7045858,Cruquiusstraat,residential
7045865,C. van Eesterenlaan,tertiary
7045869,Blauwpijpstraat,residential
7045872,Borneolaan,residential
7045879,Borneolaan,residential
7045882,Lijndenstraat,residential
7045884,Blankenstraat,residential
7045885,Borneolaan,residential
7045895,Veemarkt,residential
7045896,Veemarkt,residential
7045898,Veemarkt,residential
7045905,Cruquiusweg,tertiary
7045908,Veelaan,tertiary
7045909,Cruquiusweg,tertiary
7045911,Veemarkt,residential
7045915,Cruquiusweg,tertiary
7045923,Borneolaan,tertiary
7045925,Molukkenstraat,tertiary
7045928,Borneolaan,tertiary
7045940,Cruquiuskade,tertiary
7045941,Panamalaan,primary
7045942,Panamalaan,primary
7045944,Panamalaan,primary
7045946,Panamalaan,primary
7045952,Panamalaan,primary
7045953,Panamalaan,primary
7045956,Panamalaan,primary
7045957,Panamalaan,primary
7045961,Panamalaan,primary
7045962,Panamalaan,primary
7045963,Panamalaan,primary
7045973,Cruquiusweg,tertiary
7045975,Zeeburgerdijk,primary
7045990,Panamalaan,primary
7045995,Mauritskade,primary
7045996,Mauritskade,primary
7046015,Pontanusstraat,residential
7046024,Pieter Vlamingstraat,residential
7046028,Jacob Burggraafstraat,residential
7046036,Waaigat,residential
7046039,Parelstraat,residential
7046044,Waaigat,residential
7046052,Pontanusstraat,residential
7046055,Kruithuisstraat,residential
7046057,Ir. Jakoba Mulderplein,residential
7046058,unknown,cycleway
7046064,Ir. Jakoba Mulderplein,residential
7046067,Ir. Jakoba Mulderplein,residential
7046072,Entrepotdok,cycleway
7046073,unknown,residential
7046078,Sarphatistraat,tertiary
7046094,Oostenburgergracht,residential
7046095,Kruithuisstraat,residential
7046096,Kruithuisstraat,residential
7046107,Tweede Coehoornstraat,cycleway
7046116,Czaar Peterstraat,residential
7046119,Czaar Peterstraat,residential
7046126,unknown,cycleway
7046134,Oostenburgerpark,cycleway
7046135,Admiraliteitstraat,residential
7046140,Conradstraat,residential
7046142,Compagniestraat,cycleway
7046145,Oostenburgervoorstraat,residential
7046147,Boulevardpad,residential
7046151,Oostenburgerpark,residential
7046155,Wittenburgerkade,residential
7046161,Grote Wittenburgerstraat,residential
7046168,Tweede Wittenburgerdwarsstraat,residential
7046175,Touwbaan,residential
7046177,Eerste Coehoornstraat,cycleway
7046185,Bootstraat,residential
7046193,Poolstraat,residential
7046203,Grote Wittenburgerstraat,residential
